1784081773.799004, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839637070941
1784081773.801873, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839639937425
1784081773.801930, ResNet50-v1.5 inference, pipeline - val, run, end, 323900339913914015076600779715657893161, 1784081773.795424, 1, 25, 6200839640010769
1784081773.802351, ResNet50-v1.5 inference, pipeline - val, run, start, 3654399339916238692923423893262174348, 1784081773.802306, 1, 26, 6200839640419794
1784081773.802511, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839640591010
1784081773.804199, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839642274117
1784081773.804367, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839642440789
1784081773.805221, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839643284950
1784081773.805260, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839643327126
1784081773.808181, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839646244682
1784081773.808247, ResNet50-v1.5 inference, pipeline - val, run, end, 3654399339916238692923423893262174348, 1784081773.802306, 1, 26, 6200839646322570
1784081773.808580, ResNet50-v1.5 inference, pipeline - val, run, start, 93733822540475421344181929546693695031, 1784081773.808537, 1, 27, 6200839646648027
1784081773.808733, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839646812043
1784081773.810112, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839648187773
1784081773.810198, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839648271149
1784081773.811226, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839649289630
1784081773.811265, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839649332878
1784081773.814118, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839652182194
1784081773.814179, ResNet50-v1.5 inference, pipeline - val, run, end, 93733822540475421344181929546693695031, 1784081773.808537, 1, 27, 6200839652252738
1784081773.814487, ResNet50-v1.5 inference, pipeline - val, run, start, 107842640118694324308147717717075936469, 1784081773.814443, 1, 28, 6200839652555155
1784081773.814617, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839652688115
1784081773.816108, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839654181093
1784081773.816256, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839654328933
1784081773.817236, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839655300423
1784081773.817274, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839655341095
1784081773.820179, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839658243643
1784081773.820238, ResNet50-v1.5 inference, pipeline - val, run, end, 107842640118694324308147717717075936469, 1784081773.814443, 1, 28, 6200839658311275
1784081773.820602, ResNet50-v1.5 inference, pipeline - val, run, start, 279257450283296981802398278722561765266, 1784081773.820553, 1, 29, 6200839658672059
1784081773.820874, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839658954092
1784081773.822527, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839660607150
1784081773.822627, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839660708590
1784081773.823874, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839661938832
1784081773.823946, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839662012768
1784081773.826756, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839664820708
1784081773.826813, ResNet50-v1.5 inference, pipeline - val, run, end, 279257450283296981802398278722561765266, 1784081773.820553, 1, 29, 6200839664887188
1784081773.827163, ResNet50-v1.5 inference, pipeline - val, run, start, 287179614310702714631854340016940237593, 1784081773.827121, 1, 30, 6200839665233572
1784081773.827439, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839665521333
1784081773.829210, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839667289175
1784081773.829278, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839667343495
1784081773.830210, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839668273065
1784081773.830246, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839668313209
1784081773.833130, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839671194493
1784081773.833187, ResNet50-v1.5 inference, pipeline - val, run, end, 287179614310702714631854340016940237593, 1784081773.827121, 1, 30, 6200839671263677
1784081773.833572, ResNet50-v1.5 inference, pipeline - val, run, start, 58234672238004410592262768262062948448, 1784081773.833521, 1, 31, 6200839671643869
1784081773.833737, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839671809934
1784081773.834812, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839672885647
1784081773.834864, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839672929295
