# E2 collection
# started      : 2026-08-28 18:51:50 +0200
# machine      : m2pro
# git_commit   : d242d80917d7efd10b759e41aea271892ef949ae
# git_dirty    : yes
# host         : mac623807 
# platform     : macOS-26.5.2-arm64-arm-64bit
# python       : 3.10.20
# torch        : 2.10.0
# radt         : 0.2.29
# mlflow       : 3.15.1
# pin          : none
# runs         : 11
[08-28 18:51:54] E2 collection: 9 cell(s) x 3 configurations x 11 runs on m2pro
[08-28 22:41:38]   mod_meffv2s_b32_monolith_m2pro_r4 rc=0 151s rows=605 spans=n/a
[08-28 22:44:28]   mod_meffv2s_b32_choreo_m2pro_r4 rc=0 170s rows=602 spans=n/a
[08-28 22:47:19]   mod_meffv2s_b32_choreo-traced_m2pro_r4 rc=0 171s rows=603 spans=2401
[08-28 22:49:51]   mod_meffv2s_b32_choreo_m2pro_r5 rc=0 152s rows=602 spans=n/a
[08-28 22:52:23]   mod_meffv2s_b32_choreo-traced_m2pro_r5 rc=0 152s rows=603 spans=2401
[08-28 22:54:53]   mod_meffv2s_b32_monolith_m2pro_r5 rc=0 150s rows=605 spans=n/a
[08-28 22:57:27]   mod_meffv2s_b32_choreo-traced_m2pro_r6 rc=0 154s rows=603 spans=2401
[08-28 22:59:56]   mod_meffv2s_b32_monolith_m2pro_r6 rc=0 149s rows=605 spans=n/a
[08-28 23:02:30]   mod_meffv2s_b32_choreo_m2pro_r6 rc=0 154s rows=602 spans=n/a
[08-28 23:05:00]   mod_meffv2s_b32_monolith_m2pro_r7 rc=0 150s rows=605 spans=n/a
[08-28 23:07:32]   mod_meffv2s_b32_choreo_m2pro_r7 rc=0 152s rows=602 spans=n/a
[08-28 23:10:05]   mod_meffv2s_b32_choreo-traced_m2pro_r7 rc=0 153s rows=603 spans=2401
[08-28 23:12:37]   mod_meffv2s_b32_choreo_m2pro_r8 rc=0 152s rows=602 spans=n/a
[08-28 23:15:10]   mod_meffv2s_b32_choreo-traced_m2pro_r8 rc=0 153s rows=603 spans=2401
[08-28 23:17:40]   mod_meffv2s_b32_monolith_m2pro_r8 rc=0 150s rows=605 spans=n/a
[08-28 23:20:12]   mod_meffv2s_b32_choreo-traced_m2pro_r9 rc=0 152s rows=603 spans=2401
[08-28 23:22:42]   mod_meffv2s_b32_monolith_m2pro_r9 rc=0 150s rows=605 spans=n/a
[08-28 23:25:14]   mod_meffv2s_b32_choreo_m2pro_r9 rc=0 152s rows=602 spans=n/a
[08-28 23:27:44]   mod_meffv2s_b32_monolith_m2pro_r10 rc=0 150s rows=605 spans=n/a
[08-28 23:30:16]   mod_meffv2s_b32_choreo_m2pro_r10 rc=0 152s rows=602 spans=n/a
[08-28 23:32:48]   mod_meffv2s_b32_choreo-traced_m2pro_r10 rc=0 152s rows=603 spans=2401
[08-28 23:35:22]   mod_meffv2s_b32_choreo_m2pro_r11 rc=0 153s rows=602 spans=n/a
[08-28 23:37:58]   mod_meffv2s_b32_choreo-traced_m2pro_r11 rc=0 156s rows=603 spans=2401
[08-28 23:40:28]   mod_meffv2s_b32_monolith_m2pro_r11 rc=0 150s rows=605 spans=n/a
[08-28 23:40:53]   mod_meffv2s_b4_monolith_m2pro_r1 rc=0 25s rows=605 spans=n/a
[08-28 23:41:18]   mod_meffv2s_b4_choreo_m2pro_r1 rc=0 25s rows=602 spans=n/a
[08-28 23:41:44]   mod_meffv2s_b4_choreo-traced_m2pro_r1 rc=0 26s rows=603 spans=2401
[08-28 23:42:10]   mod_meffv2s_b4_choreo_m2pro_r2 rc=0 26s rows=602 spans=n/a
[08-28 23:42:36]   mod_meffv2s_b4_choreo-traced_m2pro_r2 rc=0 26s rows=603 spans=2401
[08-28 23:43:00]   mod_meffv2s_b4_monolith_m2pro_r2 rc=0 24s rows=605 spans=n/a
[08-28 23:43:26]   mod_meffv2s_b4_choreo-traced_m2pro_r3 rc=0 26s rows=603 spans=2401
[08-28 23:43:49]   mod_meffv2s_b4_monolith_m2pro_r3 rc=0 23s rows=605 spans=n/a
[08-28 23:44:15]   mod_meffv2s_b4_choreo_m2pro_r3 rc=0 26s rows=602 spans=n/a
[08-28 23:44:38]   mod_meffv2s_b4_monolith_m2pro_r4 rc=0 23s rows=605 spans=n/a
[08-28 23:45:04]   mod_meffv2s_b4_choreo_m2pro_r4 rc=0 26s rows=602 spans=n/a
[08-28 23:45:31]   mod_meffv2s_b4_choreo-traced_m2pro_r4 rc=0 27s rows=603 spans=2401
[08-28 23:45:56]   mod_meffv2s_b4_choreo_m2pro_r5 rc=0 25s rows=602 spans=n/a
[08-28 23:46:23]   mod_meffv2s_b4_choreo-traced_m2pro_r5 rc=0 27s rows=603 spans=2401
[08-28 23:46:47]   mod_meffv2s_b4_monolith_m2pro_r5 rc=0 24s rows=605 spans=n/a
[08-28 23:47:13]   mod_meffv2s_b4_choreo-traced_m2pro_r6 rc=0 26s rows=603 spans=2401
[08-28 23:47:36]   mod_meffv2s_b4_monolith_m2pro_r6 rc=0 23s rows=605 spans=n/a
[08-28 23:48:02]   mod_meffv2s_b4_choreo_m2pro_r6 rc=0 26s rows=602 spans=n/a
[08-28 23:48:25]   mod_meffv2s_b4_monolith_m2pro_r7 rc=0 23s rows=605 spans=n/a
[08-28 23:48:51]   mod_meffv2s_b4_choreo_m2pro_r7 rc=0 26s rows=602 spans=n/a
[08-28 23:49:17]   mod_meffv2s_b4_choreo-traced_m2pro_r7 rc=0 26s rows=603 spans=2401
[08-28 23:49:43]   mod_meffv2s_b4_choreo_m2pro_r8 rc=0 26s rows=602 spans=n/a
[08-28 23:50:10]   mod_meffv2s_b4_choreo-traced_m2pro_r8 rc=0 27s rows=603 spans=2401
[08-28 23:50:34]   mod_meffv2s_b4_monolith_m2pro_r8 rc=0 24s rows=605 spans=n/a
[08-28 23:51:00]   mod_meffv2s_b4_choreo-traced_m2pro_r9 rc=0 26s rows=603 spans=2401
