1769613295.214766, baseline_finetune, training_step, run, start
1769613295.294026, baseline_finetune, training_step, run, end
1769613295.294489, baseline_finetune, training_step, run, start
1769613295.374072, baseline_finetune, training_step, run, end
1769613295.374442, baseline_finetune, training_step, run, start
1769613295.454588, baseline_finetune, training_step, run, end
1769613295.455097, baseline_finetune, training_step, run, start
1769613295.534965, baseline_finetune, training_step, run, end
1769613295.535473, baseline_finetune, training_step, run, start
1769613295.615247, baseline_finetune, training_step, run, end
1769613295.615719, baseline_finetune, training_step, run, start
1769613295.695836, baseline_finetune, training_step, run, end
1769613295.696284, baseline_finetune, training_step, run, start
1769613295.775410, baseline_finetune, training_step, run, end
1769613295.775740, baseline_finetune, training_step, run, start
1769613295.855578, baseline_finetune, training_step, run, end
1769613295.855998, baseline_finetune, training_step, run, start
1769613295.935821, baseline_finetune, training_step, run, end
1769613295.936266, baseline_finetune, training_step, run, start
1769613296.016156, baseline_finetune, training_step, run, end
1769613296.016614, baseline_finetune, training_step, run, start
1769613296.096967, baseline_finetune, training_step, run, end
1769613296.097440, baseline_finetune, training_step, run, start
1769613296.177927, baseline_finetune, training_step, run, end
1769613296.178330, baseline_finetune, training_step, run, start
1769613296.258299, baseline_finetune, training_step, run, end
1769613296.258676, baseline_finetune, training_step, run, start
1769613296.338894, baseline_finetune, training_step, run, end
1769613296.339351, baseline_finetune, training_step, run, start
1769613296.418891, baseline_finetune, training_step, run, end
1769613296.419393, baseline_finetune, training_step, run, start
1769613296.500270, baseline_finetune, training_step, run, end
1769613296.500639, baseline_finetune, training_step, run, start
1769613296.582659, baseline_finetune, training_step, run, end
1769613296.583170, baseline_finetune, training_step, run, start
